Station_of_Interest,Closest_Rain_Station,Rain_Distance_m,Catchment_ID,Closest_Temp_Station,Temp_Distance_m
21006845,05135,5036.00150998011,69,06069,28806.239995739877
21006846,05225,8599.919375753132,69,06102,11607.535578065748
21006847,05205,5892.088368241208,69,06102,17187.187376723563
