error_frequency,clean_val_loss,error_val_loss,clean_rmse,error_rmse,clean_mae,error_mae,clean_r2,error_r2,clean_nse,error_nse,rmse_pct_increase,mae_pct_increase,nse_pct_decrease
0.0,0.1258480697870254,0.1415159702301025,147.21674219308042,136.916268506655,104.64077801105104,97.6227158999834,0.6198284072605771,0.6711670220900393,0.6198284072605771,0.6711670220900393,,,
0.02,0.1359881311655044,0.247862160205841,132.12839570841825,190.695806350438,94.82640222274976,138.59661153053327,0.6937630573493994,0.3621074331667585,0.6937630573493994,0.3621074331667585,44.326134687404114,46.15825158584645,47.80531633520079
0.03,0.1359881311655044,0.2647295892238617,132.12839570841825,199.174398139188,94.82640222274976,145.25083026323162,0.6937630573493994,0.3041233187520188,0.6937630573493994,0.3041233187520188,50.74306856697724,53.17551531907068,56.163229573803406
0.04,0.1359881311655044,0.2696889340877533,132.12839570841825,198.37912386571327,94.82640222274976,144.8769282575861,0.6937630573493994,0.3096692923208445,0.6937630573493994,0.3096692923208445,50.14117351693091,52.78121373545979,55.36382500619575
0.05,0.1359881311655044,0.2783108353614807,132.12839570841825,201.1623880292094,94.82640222274976,146.68731520286238,0.6937630573493994,0.2901626916659768,0.6937630573493994,0.2901626916659768,52.24765800769714,54.69037289666433,58.175534342434375
0.1,0.1359881311655044,0.2698171138763428,132.12839570841825,214.4481338272236,94.82640222274976,158.84705911813538,0.6937630573493994,0.1933041938831248,0.6937630573493994,0.1933041938831248,62.3028363263178,67.51353567648744,72.13685683673249
0.15,0.1359881311655044,0.2698604464530945,132.12839570841825,217.6046151920036,94.82640222274976,160.00048238667418,0.6937630573493994,0.1693817657243811,0.6937630573493994,0.1693817657243811,64.69178636832525,68.7298881284442,75.58506986931195
0.01,0.1350007057189941,0.2717507481575012,151.64890784763787,210.10955378446087,108.14902510710752,166.16460265731118,0.5965926279428433,0.2256151329268688,0.5965926279428433,0.2256151329268688,38.54999469930808,53.64410589253744,62.182715246611465
0.1,0.0332479961216449,0.0092313848435878,85.2592105696628,356.3775722614828,56.932042173896335,239.59635623222044,0.8724889356644645,-1.2278502045697397,0.8724889356644645,-1.2278502045697397,,,
0.001,0.0143723990768194,0.0221360269933938,48.861093041558725,58.8915154287664,31.089369988814944,37.74480347461388,0.9581214522699412,0.939162590036572,0.9581214522699412,0.939162590036572,,,
0.001,0.0172116998583078,0.01753930747509,54.53897766531321,47.69981571202965,39.63437462690316,36.880161523784224,0.9478229835172362,0.9600884440667898,0.9478229835172362,0.9600884440667898,,,
0.001,0.1340689808130264,0.2124595493078231,156.97454243000274,175.92455531548225,112.84447182156784,127.6744993094842,0.5677612404641776,0.4571020766239145,0.5677612404641776,0.4571020766239145,,,
0.001,0.01570609025657177,0.026791991665959358,57.07602071664836,42.186761105874766,39.66498106565631,31.833579968103294,0.942855737722683,0.9687810980395576,0.942855737722683,0.9687810980395576,,,
