,actual,corrected,anomaly,predicted
2024-03-16 09:15:00,481.21,526.6181061224489,False,526.6181061224489
2024-03-16 09:30:00,482.78,526.6088081632653,False,526.6088081632653
2024-03-16 09:45:00,482.29,526.5995102040816,False,526.5995102040816
2024-03-16 10:00:00,479.78,526.590212244898,False,526.590212244898
2024-03-16 10:15:00,481.41,526.5809142857142,False,526.5809142857142
2024-03-16 10:30:00,484.2,526.5716163265306,False,526.5716163265306
2024-03-16 10:45:00,480.64,526.562318367347,False,526.562318367347
2024-03-16 11:00:00,481.78,526.5530204081633,False,526.5530204081633
2024-03-16 11:15:00,484.25,526.5437224489797,False,526.5437224489797
2024-03-16 11:30:00,481.66,526.534424489796,False,526.534424489796
2024-03-16 11:45:00,483.48,526.5251265306123,False,526.5251265306123
2024-03-16 12:00:00,482.06,526.5158285714285,False,526.5158285714285
2024-03-16 12:15:00,480.15,526.5065306122449,False,526.5065306122449
2024-03-16 12:30:00,482.14,526.4972326530611,False,526.4972326530611
2024-03-16 12:45:00,482.79,526.4879346938775,False,526.4879346938775
2024-03-16 13:00:00,482.92,526.4786367346939,False,526.4786367346939
2024-03-16 13:15:00,479.34,526.4693387755102,False,526.4693387755102
2024-03-16 13:30:00,482.8,526.4600408163265,False,526.4600408163265
2024-03-16 13:45:00,481.39,526.4507428571428,False,526.4507428571428
2024-03-16 14:00:00,481.42,526.4414448979592,False,526.4414448979592
2024-03-16 14:15:00,481.87,526.4321469387755,False,526.4321469387755
2024-03-16 14:30:00,481.62,526.4228489795918,False,526.4228489795918
2024-03-16 14:45:00,481.29,526.413531853574,False,526.413531853574
2024-03-16 15:00:00,478.87,526.4041262012801,False,526.4041262012801
2024-03-16 15:15:00,479.63,526.3946595094159,False,526.3946595094159
2024-03-16 15:30:00,480.76,526.3852124192224,False,526.3852124192224
2024-03-16 15:45:00,477.6,526.3763215778698,False,526.3763215778698
2024-03-16 16:00:00,482.77,526.3674040371461,True,526.3674040371461
2024-03-16 16:15:00,474.92,526.3583427512284,True,526.3583427512284
2024-03-16 16:30:00,477.66,526.349159178815,True,526.349159178815
2024-03-16 16:45:00,157.8,526.339879882623,True,526.339879882623
2024-03-16 17:00:00,477.91,526.3305319281109,True,526.3305319281109
2024-03-16 17:15:00,478.25,526.3211403373621,True,526.3211403373621
2024-03-16 17:30:00,477.32,526.3117264876432,True,526.3117264876432
2024-03-16 17:45:00,478.64,526.30230731296,True,526.30230731296
2024-03-16 18:00:00,474.99,526.2928951383758,True,526.2928951383758
2024-03-16 18:15:00,157.8,526.2834979719264,True,526.2834979719264
2024-03-16 18:30:00,157.8,526.2741200910164,True,526.2741200910164
2024-03-16 18:45:00,157.8,526.2647627830582,True,526.2647627830582
2024-03-16 19:00:00,157.8,526.2554251285343,True,526.2554251285343
2024-03-16 19:15:00,157.8,526.2461047444526,True,526.2461047444526
2024-03-16 19:30:00,157.8,526.2367984342845,True,526.2367984342845
2024-03-16 19:45:00,157.8,526.2275027149183,True,526.2275027149183
2024-03-16 20:00:00,474.83,526.2182142108894,True,526.2182142108894
2024-03-16 20:15:00,474.7,526.2089299208152,True,526.2089299208152
2024-03-16 20:30:00,474.1,526.199647370793,True,526.199647370793
2024-03-16 20:45:00,474.66,526.1903646750958,False,526.1903646750958
2024-03-16 21:00:00,474.12,526.181080579804,False,526.181080579804
2024-03-16 21:15:00,473.35,526.1717944033647,False,526.1717944033647
2024-03-16 21:30:00,474.86,526.1625053825612,False,526.1625053825612
2024-03-16 21:45:00,472.36,526.1539627016773,False,526.1539627016773
2024-03-16 22:00:00,472.06,526.1440979735278,False,526.1440979735278
2024-03-16 22:15:00,472.89,526.1346122448979,False,526.1346122448979
2024-03-16 22:30:00,473.59,526.1253142857141,False,526.1253142857141
2024-03-16 22:45:00,471.82,526.1160163265305,False,526.1160163265305
2024-03-16 23:00:00,471.74,526.1067183673468,False,526.1067183673468
2024-03-16 23:15:00,470.57,526.0974204081632,False,526.0974204081632
2024-03-16 23:30:00,471.82,526.0881224489796,False,526.0881224489796
2024-03-16 23:45:00,469.03,526.0788244897959,False,526.0788244897959
2024-03-17 00:00:00,470.38,526.0695265306123,False,526.0695265306123
2024-03-17 00:15:00,470.62,526.0602285714285,False,526.0602285714285
2024-03-17 00:30:00,469.33,526.0509306122449,False,526.0509306122449
2024-03-17 00:45:00,469.49,526.0416326530612,False,526.0416326530612
