stationId,name,country,owner,type,status,stationHeight,barometerHeight,latitude,longitude,region,created,operationFrom,operationTo,updated,validFrom,validTo,wmoCountryCode,wmoStationId
4228,Attu,GRL,DMI,GIWS,Active,10,,67.7833,-53.9667,4,2024-11-28T14:46:41Z,1983-08-18T00:00:00Z,,,1983-08-18T00:00:00Z,1990-06-17T00:00:00Z,6070,4228
4228,Kitsissut/Attu,GRL,DMI,GIWS,Active,10,,67.7833,-53.9667,4,2024-11-28T14:46:41Z,1983-08-18T00:00:00Z,,,1990-06-17T00:00:00Z,2009-10-07T00:00:00Z,6070,4228
4228,Kitsissut/Attu,GRL,DMI,GIWS,Active,10,,67.7842,-53.965,4,2024-11-28T14:46:41Z,1983-08-18T00:00:00Z,,,2009-10-07T00:00:00Z,2019-01-15T13:34:47Z,6070,4228
4228,Kitsissut/Attu,GRL,DMI,GIWS,Active,10,11.5,67.7842,-53.965,4,2024-11-28T14:46:41Z,1983-08-18T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4228
4231,Mittarfik Kangerlussuaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,67.0181,-50.7033,4,2024-11-28T14:46:41Z,1973-05-01T00:00:00Z,,,1973-05-01T00:00:00Z,2004-07-01T00:00:00Z,6070,4231
4231,Mittarfik Kangerlussuaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,50,,67.0133,-50.7172,4,2024-11-28T14:46:41Z,1973-05-01T00:00:00Z,,,2004-07-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4231
4231,Mittarfik Kangerlussuaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,50,53,67.0133,-50.7172,4,2024-11-28T14:46:41Z,1973-05-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4231
4234,Mittarfik Sisimiut,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,10,,66.9514,-53.7294,4,2024-11-28T14:46:41Z,1998-10-03T00:00:00Z,,,1998-10-03T00:00:00Z,2019-01-15T13:34:47Z,6070,4234
4234,Mittarfik Sisimiut,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,10,8,66.9514,-53.7294,4,2024-11-28T14:46:41Z,1998-10-03T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4234
4241,Mittarfik Maniitsoq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,28,,65.4125,-52.9394,4,2024-11-28T14:46:41Z,1999-09-30T00:00:00Z,,,1999-09-30T00:00:00Z,2019-01-15T13:34:47Z,6070,4241
4241,Mittarfik Maniitsoq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,28,32,65.4125,-52.9394,4,2024-11-28T14:46:41Z,1999-09-30T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4241
4242,Sioralik,GRL,DMI,GIWS,Active,12,,65.0131,-52.5286,4,2024-11-28T14:46:41Z,1983-06-16T00:00:00Z,,,1983-06-16T00:00:00Z,2019-01-15T13:34:47Z,6070,4242
4242,Sioralik,GRL,DMI,GIWS,Active,12,14,65.0131,-52.5286,4,2024-11-28T14:46:41Z,1983-06-16T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4242
4250,Nuuk,GRL,DMI,Synop,Active,,,64.1667,-51.75,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1958-01-01T00:00:00Z,1991-09-01T00:00:00Z,6070,4250
4250,Nuuk,GRL,DMI,Synop,Active,79.65,,64.1833,-51.7308,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1991-09-01T00:00:00Z,2019-01-15T13:34:46Z,6070,4250
4250,Nuuk,GRL,DMI,Synop,Active,79.65,83.7,64.1833,-51.7308,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2019-01-15T13:34:46Z,,6070,4250
4253,Ukiiviit,GRL,DMI,GIWS,Active,,,62.5667,-50.4167,4,2024-11-28T14:46:41Z,1982-06-20T00:00:00Z,,,1982-06-20T00:00:00Z,2010-08-28T00:00:00Z,6070,4253
4253,Ukiiviit,GRL,DMI,GIWS,Active,22.23,,62.5789,-50.4058,4,2024-11-28T14:46:41Z,1982-06-20T00:00:00Z,,,2010-08-28T00:00:00Z,2019-01-15T13:34:47Z,6070,4253
4253,Ukiiviit,GRL,DMI,GIWS,Active,22.23,22,62.5789,-50.4058,4,2024-11-28T14:46:41Z,1982-06-20T00:00:00Z,,,2019-01-15T13:34:47Z,2019-10-04T12:01:03Z,6070,4253
4253,Ukiiviit,GRL,DMI,GIWS,Active,20,22,62.5789,-50.4058,4,2024-11-28T14:46:41Z,1982-06-20T00:00:00Z,,,2019-10-04T12:01:03Z,,6070,4253
4254,Qeqertarsuatsiaat,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,63.0833,-50.6833,4,2024-11-28T14:46:41Z,1967-01-17T00:00:00Z,,,1967-01-17T00:00:00Z,1975-08-01T00:00:00Z,6070,4254
4254,Mittarfik Nuuk,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,86,,64.1908,-51.6781,4,2024-11-28T14:46:41Z,1967-01-17T00:00:00Z,,,1975-08-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4254
4254,Mittarfik Nuuk,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,86,87,64.1908,-51.6781,4,2024-11-28T14:46:41Z,1967-01-17T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4254
4260,Paamiut,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,62,-49.7167,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1958-01-01T00:00:00Z,1992-09-22T00:00:00Z,6070,4260
4260,Paamiut Heliport,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,,,62,-49.6667,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,1992-09-22T00:00:00Z,2007-12-07T00:00:00Z,6070,4260
4260,Mittarfik Paamiut,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,36,,62.0147,-49.6708,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2007-12-07T00:00:00Z,2019-01-15T13:34:47Z,6070,4260
4260,Mittarfik Paamiut,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,36,36,62.0147,-49.6708,4,2024-11-28T14:46:41Z,1958-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4260
4266,Nunarssuit,GRL,DMI,GIWS,Active,30.83,,60.7636,-48.4547,4,2024-11-28T14:46:41Z,1981-07-22T00:00:00Z,,,1981-07-22T00:00:00Z,2010-08-20T00:00:00Z,6070,4266
4266,Nunarssuit,GRL,DMI,GIWS,Active,30.83,,60.7636,-48.4544,4,2024-11-28T14:46:41Z,1981-07-22T00:00:00Z,,,2010-08-20T00:00:00Z,2019-01-15T13:34:47Z,6070,4266
4266,Nunarssuit,GRL,DMI,GIWS,Active,30.83,32.6,60.7636,-48.4544,4,2024-11-28T14:46:41Z,1981-07-22T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4266
4270,Mittarfik Narsarsuaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,34.14,,61.1608,-45.4256,4,2024-11-28T14:46:41Z,1961-01-01T00:00:00Z,,,1961-01-01T00:00:00Z,2019-01-15T13:34:47Z,6070,4270
4270,Mittarfik Narsarsuaq,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,34,31,61.1608,-45.4256,4,2024-11-28T14:46:41Z,1961-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4270
4271,Narsarsuaq Radiosonde,GRL,DMI,Synop,Active,3.9,,61.1575,-45.44,4,2024-11-28T14:46:41Z,2011-07-07T00:00:00Z,,,2011-07-07T00:00:00Z,2019-01-15T13:34:47Z,6070,4271
4271,Narsarsuaq Radiosonde,GRL,DMI,Synop,Active,3.9,5.4,61.1575,-45.44,4,2024-11-28T14:46:41Z,2011-07-07T00:00:00Z,,,2019-01-15T13:34:47Z,2024-05-28T11:53:16Z,6070,4271
4271,Narsarsuaq,GRL,DMI,Synop,Active,3.9,5.4,61.1575,-45.44,4,2024-11-28T14:46:41Z,2011-07-07T00:00:00Z,,,2024-05-28T11:53:16Z,,6070,4271
4272,Qaqortoq,GRL,DMI,Synop,Active,57,,60.7167,-46.05,4,2024-11-28T14:46:41Z,1961-01-01T00:00:00Z,,,1961-01-01T00:00:00Z,2003-09-09T00:00:00Z,6070,4272
4272,Qaqortoq,GRL,DMI,Synop,Active,57,,60.7156,-46.0489,4,2024-11-28T14:46:41Z,1961-01-01T00:00:00Z,,,2003-09-09T00:00:00Z,2019-01-15T13:34:47Z,6070,4272
4272,Qaqortoq,GRL,DMI,Synop,Active,57,57.4,60.7156,-46.0489,4,2024-11-28T14:46:41Z,1961-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4272
4273,Qaqortoq Heliport,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,18,,60.7131,-46.0294,4,2024-11-28T14:46:41Z,2004-03-17T00:00:00Z,,,2004-03-17T00:00:00Z,2019-01-15T13:34:47Z,6070,4273
4273,Qaqortoq Heliport,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,18,21,60.7131,-46.0294,4,2024-11-28T14:46:41Z,2004-03-17T00:00:00Z,,,2019-01-15T13:34:47Z,2023-03-22T12:20:46Z,6070,4273
4273,Qaqortoq Heliport,GRL,Mittafik/Grønlandske lufthavne,Synop,Active,18,21,60.7158,-46.0294,4,2024-11-28T14:46:41Z,2004-03-17T00:00:00Z,,,2023-03-22T12:20:46Z,,6070,4273
4285,Angissoq,GRL,DMI,GIWS,Active,14.38,,59.9908,-45.1467,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,1964-01-01T00:00:00Z,2008-11-04T00:00:00Z,6070,4285
4285,Angissoq,GRL,DMI,GIWS,Active,14.38,,59.9911,-45.1461,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,2008-11-04T00:00:00Z,2019-01-15T13:34:47Z,6070,4285
4285,Angissoq,GRL,DMI,GIWS,Active,14.38,16.13,59.9911,-45.1461,4,2024-11-28T14:46:41Z,1964-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4285
4301,Kap Morris Jesup,GRL,DMI,GIWS,Active,,,83.65,-33.3667,4,2024-11-28T14:46:41Z,1980-07-16T00:00:00Z,,,1980-07-16T00:00:00Z,2009-07-31T00:00:00Z,6070,4301
4301,Kap Morris Jesup,GRL,DMI,GIWS,Active,3,,83.6561,-33.3739,4,2024-11-28T14:46:41Z,1980-07-16T00:00:00Z,,,2009-07-31T00:00:00Z,2019-01-15T13:34:47Z,6070,4301
4301,Kap Morris Jesup,GRL,DMI,GIWS,Active,3,4,83.6561,-33.3739,4,2024-11-28T14:46:41Z,1980-07-16T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4301
4312,Station Nord,GRL,DMI,GIWS,Active,,,81.6,-16.65,4,2024-11-28T14:46:41Z,1978-01-01T00:00:00Z,,,1978-01-01T00:00:00Z,2009-03-04T00:00:00Z,6070,4312
4312,Station Nord,GRL,DMI,GIWS,Active,34,,81.6033,-16.6633,4,2024-11-28T14:46:41Z,1978-01-01T00:00:00Z,,,2009-03-04T00:00:00Z,2019-01-15T13:34:47Z,6070,4312
4312,Station Nord,GRL,DMI,GIWS,Active,34,36,81.6033,-16.6633,4,2024-11-28T14:46:41Z,1978-01-01T00:00:00Z,,,2019-01-15T13:34:47Z,,6070,4312
