feature_station_21006847_vst_raw,feature_station_21006845_vst_raw,vst_raw,feature_station_21006845_rainfall,temperature,feature_station_21006847_rainfall,rainfall,vst_raw_cleaned,is_anomaly
712.85,2093.81,1198.45,0.0,1.7,0.1,0.0,1198.45,False
712.46,2093.79,1202.02,0.0,1.7,0.1,0.0,1202.02,False
712.73,2094.07,1197.96,0.0,1.7,0.1,0.0,1197.96,False
715.94,2101.28,1201.78,0.0,1.7,0.1,0.0,1201.78,False
716.43,2097.07,1194.59,0.1,1.7,0.0,0.0,1194.59,False
715.24,2088.49,1196.07,0.1,1.7,0.0,0.0,1196.07,False
714.32,2097.12,1197.07,0.1,1.7,0.0,0.0,1197.07,False
713.11,2097.19,1193.7,0.1,1.7,0.0,0.0,1193.7,False
712.64,2094.89,1196.6,0.1,1.7,0.0,0.0,1196.6,False
711.62,2097.16,1195.58,0.1,1.7,0.0,0.0,1195.58,False
718.2,2094.87,1191.24,0.1,1.7,0.0,0.0,1191.24,False
709.16,2088.63,1193.41,0.1,1.7,0.0,0.0,1193.41,False
711.21,2095.61,1190.99,0.1,1.7,0.0,0.0,1190.99,False
710.97,2093.55,1190.63,0.1,1.7,0.0,0.0,1190.63,False
705.44,2097.87,1189.42,0.1,1.7,0.0,0.0,1189.42,False
705.49,2091.61,1191.44,0.1,1.7,0.0,0.0,1191.44,False
708.5,2090.61,1187.32,1.2,1.7,0.0,0.0,1187.32,False
702.73,2097.4,1190.01,1.2,1.7,0.0,0.0,1190.01,False
700.44,2096.75,1189.89,1.2,1.7,0.0,0.0,1189.89,False
705.51,2097.48,1181.94,1.2,1.7,0.0,0.0,1181.94,False
705.82,2098.63,1184.37,0.0,1.7,0.0,0.0,1184.37,False
702.87,2096.71,1185.26,0.0,1.7,0.0,0.0,1185.26,False
701.64,2098.21,1186.2,0.0,1.7,0.0,0.0,1186.2,False
702.61,2100.13,1180.94,0.0,1.7,0.0,0.0,1180.94,False
704.88,2096.35,1182.64,0.0,1.7,0.0,0.0,1182.64,False
705.71,2098.34,1183.15,0.0,1.7,0.0,0.0,1183.15,False
700.31,2099.84,1183.43,0.0,1.7,0.0,0.0,1183.43,False
701.08,2100.24,1184.35,0.0,1.7,0.0,0.0,1184.35,False
702.65,2101.6,1182.93,0.0,1.7,0.0,0.0,1182.93,False
698.71,2104.19,1181.93,0.0,1.7,0.0,0.0,1181.93,False
699.96,2101.88,1176.28,0.0,1.7,0.0,0.0,1176.28,False
700.97,2099.73,1181.73,0.0,1.7,0.0,0.0,1181.73,False
695.71,2102.27,1172.78,0.0,1.7,0.0,0.0,1172.78,False
700.22,2098.54,1177.92,0.0,1.7,0.0,0.0,1177.92,False
690.91,2102.71,1178.65,0.0,1.7,0.0,0.0,1178.65,False
695.07,2097.87,1174.6,0.0,1.7,0.0,0.0,1174.6,False
691.51,2101.35,1174.75,0.0,1.7,0.0,0.0,1174.75,False
694.8,2102.83,1176.96,0.0,1.7,0.0,0.0,1176.96,False
693.38,2101.24,1175.46,0.0,1.7,0.0,0.0,1175.46,False
687.84,2104.54,1176.6,0.0,1.7,0.0,0.0,1176.6,False
