drift_group,start_date,end_date,duration_days,mean_difference,max_difference,num_points
264.0,2020-03-05 09:48:00,2020-03-05 09:48:00,0.0,13.559999999999945,13.559999999999945,1
265.0,2020-04-21 10:02:00,2020-04-21 10:02:00,0.0,10.290000000000006,10.290000000000006,1
277.0,2021-02-03 09:38:00,2021-02-15 11:42:00,12.08611111111111,12.349999999999994,14.259999999999991,2
284.0,2021-08-10 11:18:00,2021-08-10 11:18:00,0.0,11.300000000000011,11.300000000000011,1
294.0,2022-02-23 10:41:00,2022-03-01 13:48:00,6.129861111111111,10.384999999999962,10.589999999999975,2
296.0,2022-04-19 07:37:00,2022-04-19 07:37:00,0.0,15.170000000000002,15.170000000000002,1
297.0,2022-06-08 10:38:00,2022-07-21 10:45:00,43.00486111111111,13.584999999999994,15.0,2
301.0,2022-12-06 12:44:00,2022-12-06 12:44:00,0.0,12.219999999999999,12.219999999999999,1
304.0,2023-03-29 13:39:00,2023-04-18 10:36:00,19.872916666666665,10.590000000000003,10.849999999999994,2
310.0,2023-09-28 10:51:00,2023-09-28 12:11:00,0.05555555555555555,10.99333333333334,11.840000000000003,3
314.0,2024-01-18 14:14:00,2024-01-18 14:14:00,0.0,10.569999999999993,10.569999999999993,1
