drift_group,start_date,end_date,duration_days,mean_difference,max_difference,num_points
8.0,2000-11-16 11:11:00,2000-11-16 11:11:00,0.0,37.99000000000001,37.99000000000001,1
43.0,2004-03-04 09:59:00,2004-03-04 09:59:00,0.0,75.0,75.0,1
65.0,2005-11-03 09:56:00,2005-11-03 09:56:00,0.0,40.0,40.0,1
80.0,2007-01-16 15:04:00,2007-02-06 14:00:00,20.955555555555556,57.333333333333336,89.0,3
83.0,2007-03-22 14:55:00,2007-03-22 14:55:00,0.0,16.0,16.0,1
86.0,2007-07-16 12:03:00,2007-07-16 12:03:00,0.0,11.0,11.0,1
88.0,2007-10-09 14:28:00,2007-11-05 12:38:00,26.92361111111111,14.5,17.0,2
97.0,2008-08-11 11:56:00,2008-08-11 11:56:00,0.0,17.0,17.0,1
110.0,2009-03-31 11:45:00,2009-03-31 11:45:00,0.0,12.0,12.0,1
144.0,2011-01-18 13:22:00,2011-02-24 09:41:00,36.84652777777778,43.666666666666664,55.0,3
156.0,2011-11-10 10:41:00,2011-12-08 11:15:00,28.023611111111112,28.5,33.0,2
162.0,2012-05-10 10:28:00,2012-05-10 10:28:00,0.0,15.0,15.0,1
163.0,2012-06-18 10:25:00,2012-06-18 10:25:00,0.0,21.0,21.0,1
166.0,2012-09-13 10:09:00,2012-10-04 11:20:00,21.049305555555556,17.0,20.0,2
167.0,2012-11-08 12:30:00,2012-11-08 12:30:00,0.0,12.0,12.0,1
182.0,2013-11-11 12:37:00,2013-11-11 12:37:00,0.0,12.940000000000055,12.940000000000055,1
189.0,2014-07-09 11:58:00,2014-07-09 11:58:00,0.0,12.169999999999959,12.169999999999959,1
195.0,2015-01-09 11:00:00,2015-01-09 11:00:00,0.0,29.379999999999995,29.379999999999995,1
196.0,2015-03-05 10:24:00,2015-03-05 10:24:00,0.0,47.97000000000003,47.97000000000003,1
197.0,2015-05-27 08:54:00,2015-07-03 08:19:00,36.97569444444444,30.846666666666653,37.65999999999997,3
198.0,2015-09-21 15:03:00,2015-11-20 08:42:00,59.735416666666666,34.247499999999945,36.819999999999936,4
202.0,2016-04-07 09:53:00,2017-02-03 10:38:00,302.03125,48.31249999999998,88.30999999999995,12
203.0,2017-03-10 08:40:00,2017-04-06 08:43:00,27.002083333333335,19.57499999999999,21.350000000000023,2
204.0,2017-06-14 11:44:00,2017-11-13 11:01:00,151.9701388888889,38.52166666666668,71.67000000000007,6
205.0,2018-01-03 07:00:00,2018-01-03 07:00:00,0.0,65.67999999999995,65.67999999999995,1
207.0,2018-04-24 07:51:00,2018-04-24 07:51:00,0.0,14.949999999999989,14.949999999999989,1
217.0,2019-03-26 10:48:00,2019-06-20 10:32:00,85.9888888888889,23.267499999999984,57.059999999999945,4
218.0,2019-08-20 09:29:00,2020-04-06 07:23:00,229.9125,21.482222222222212,86.19000000000005,9
223.0,2020-09-16 10:58:00,2020-09-16 10:58:00,0.0,11.07000000000005,11.07000000000005,1
225.0,2020-12-08 13:39:00,2021-03-09 10:06:00,90.85208333333334,11.780000000000001,13.45999999999998,4
228.0,2021-04-20 09:45:00,2021-04-20 13:44:00,0.16597222222222222,10.501999999999999,11.050000000000011,5
229.0,2021-05-14 10:52:00,2021-06-09 08:00:00,25.880555555555556,12.164999999999964,13.669999999999959,2
237.0,2021-07-08 11:04:00,2021-07-08 11:04:00,0.0,10.67999999999995,10.67999999999995,1
238.0,2021-09-01 06:13:00,2021-09-01 06:13:00,0.0,11.319999999999993,11.319999999999993,1
240.0,2021-09-01 09:12:00,2021-09-01 11:18:00,0.0875,11.235000000000014,11.730000000000018,4
243.0,2021-11-24 11:00:00,2022-07-21 08:59:00,238.91597222222222,25.485555555555536,57.049999999999955,9
244.0,2022-09-14 11:11:00,2022-11-24 09:26:00,70.92708333333333,14.762500000000003,16.129999999999995,4
246.0,2023-01-31 11:46:00,2023-04-18 11:56:00,77.00694444444444,52.79500000000003,99.96000000000004,4
